Bairro,Latitude,Longitude,PrecoMedio,Size
Residencial Alice Barbosa,-16.600861,-49.270699,200,1
Antônio Barbosa,-16.590231,-49.26757,200,10
Antônio Carlos Pires,-16.5452,-49.26932,400,20
Asa Branca,-16.60869,-49.2084,200,30
Atalaia,-16.5909,-49.25763,200,40
Caraíbas,-16.78074,-49.35004,85,5
Felicidade,-16.60967,-49.22534,100,3
Gentil Meireles,-16.64851,-49.28524,100,3
Goiânia 2,-16.6304215,-49.258864,100,3
Granja Cruzeiro do Sul,-16.64051,-49.28293,350,3
Guarema,-16.6383,-49.28701,400,3
Hugo de Moraes,-16.63731,-49.2922,100,3
Humaitá,-16.62573,-49.27457,400,3
Itanhangá,-16.57305,-49.27518,400,3
Vila Itatiaia,-16.6028842,-49.2586643,100,3
Residencial Itamaracá,-16.64824,-49.30064,100,3
Jaó,-16.6450566,-49.2375154,100,3
Jardim Balneário Meia Ponte,-16.61499,-49.29667,100,3
Jardim Bom Jesus,-16.61644,-49.27007,100,3
Jardim Diamantina,-16.63569,-49.28072,100,3
Jardim Gramado,-16.6360366,-49.3041779,100,3
Jardim Guanabara,-16.62121,-49.21609,100,3
Jardim Ipê,-16.6241671,-49.2834248,60,3
Vila Jardim Pompeia,-16.61124,-49.24384,100,3
Jardim Santa Cecília,-16.6359,-49.30043,100,3
Mansões do Campus,-16.5755418,-49.299576,100,3
Mansões Goianas,-16.6258557,-49.2833644,100,3
Maria Dilce,-16.638581,-49.295315,100,3
Maria Lourença,-16.626448,-49.301539,100,3
Morada do Bosque,-16.610041,-49.317986,50,3
Morumbi,-16.6463746,-49.2796431,300,3
Nossa Morada,-16.584692,-49.257439,100,3
Orlando de Morais,-16.554512,-49.2769325,300,3
Panorama Parque,-16.6433126,-49.2793201,300,3
Parque das Nações,-16.619422,-49.2862796,300,3
Perim,-16.6509664,-49.2974227,300,3
Progresso,-16.6486469,-49.2965132,300,3
Residencial Guanabara,-16.6100529,-49.2293396,300,3
Residencial Itália,-16.6225009,-49.2979216,300,3
Santa Genoveva,-16.635617,-49.2455967,300,3
Vila São Judas Tadeu,-16.6180885,-49.2562891,300,3
Sevene,-16.635115,-49.2984358,300,3
Shangri-lá,-16.5897277,-49.2762188,300,3
Urias Magalhães,-16.6341118,-49.2837786,300,3
Vila Clemente,-16.6514799,-49.2957899,300,3
Aeroporto,-16.6718245,-49.2730014,300,3
Aeroviário,-16.6650748,-49.3091093,300,3
Campinas,-16.6608633,-49.3014804,300,3
Castelo Branco,-16.6806077,-49.3021274,300,3
Central,-16.6711921,-49.265183,300,3
Centro Oeste,-16.653938,-49.2826712,300,3
Cidade Jardim,-16.681827,-49.305981,300,3
Coimbra,-16.6789292,-49.2959056,300,3
Crimeia Leste,-16.6482286,-49.262996,300,3
Crimeia Oeste,-16.649803,-49.268856,300,3
Esplanada do Anicuns,-16.664847,-49.3181415,300,3
Conjunto Guadalajara,-16.6805435,-49.3197872,300,3
Vila Mooca,-16.6771659,-49.3219865,300,3
Marechal Rondon,-16.6638314,-49.2765462,300,3
Conjunto Morada Nova,-16.680978,-49.319783,300,3
Negrão de Lima,-16.6533292,-49.2469973,300,3
Nossa Senhora de Fátima,-16.6874645,-49.3216558,300,3
Nova Vila,-16.659513,-49.258591,300,3
Norte Ferroviário,-16.6578575,-49.2706615,300,3
Parque Industrial de Goiânia,-16.6584443,-49.2363316,300,3
Rodoviário,-16.6737945,-49.3105322,300,3
São José,-16.6589824,-49.316774,300,3
Leste Universitário,-16.6793688,-49.2474232,300,3
Vila Abajá,-16.6623227,-49.2987082,300,3
Vila Aurora,-16.6794096,-49.3090844,300,3
Vila Bethel,-16.6835243,-49.297854,300,3
Vila Boa Sorte,-16.6878807,-49.2948407,300,3
Vila Nova Canaã,-16.6900458,-49.3172439,300,3
Vila Colemar Natal e Silva,-16.665688,-49.2414278,300,3
Vila Irany,-16.6572348,-49.2947943,300,3
Leste Vila Nova,-16.6653607,-49.2532523,300,3
Vila São José,-16.6589824,-49.3167527,300,3
Vila Viana,-16.6566745,-49.2421465,300,3
Vila Viandelli,-16.6566745,-49.2421465,300,3
Alto do Vale,-16.614562,-49.3142324,300,3
Da Vitória,-16.6010295,-49.3617847,300,3
Residencial Brisas da Mata,-16.598482,-49.3123931,300,3
Cândida de Morais,-16.6482162,-49.3309379,300,3
Chácaras Maria Dilce,-16.6212727,-49.311541,300,3
Vila Finsocial,-16.6224884,-49.3251179,300,3
Floresta,-16.5852386,-49.3393213,300,3
Jardim Curitiba,-16.6018025,-49.3435516,300,3
Jardim Liberdade,-16.6137441,-49.3503829,300,3
Jardim Nova Esperança,-16.6420981,-49.3366098,300,3
Morada do Sol,-16.6186122,-49.3310391,300,3
Residencial Recanto do Bosque,-16.6025236,-49.3181672,300,3
Parque Tremendão,-16.6148,-49.3395213,300,3
Solange Park,-16.6990968,-49.3574643,300,3
Vila Mutirão,-16.6179074,-49.3564173,300,3
Alto da Glória,-16.7153973,-49.2472304,300,3
Bela Vista,-16.7158982,-49.2655988,300,3
Bueno,-16.7002168,-49.2830267,300,3
Jardim América,-16.7085718,-49.2932361,300,3
Jardim das Esmeraldas,-16.720016,-49.2666971,300,3
Jardim Goiás,-16.6983464,-49.2466464,300,3
Jardim Santo Antônio,-16.7012627,-49.279126,300,3
Marista,-16.7012627,-49.2791268,300,3
Nova Suíça,-16.706801,-49.2847246,300,3
Oeste,-16.684057,-49.2787604,300,3
Parque Amazônia,-16.7307921,-49.2886162,300,3
Pedro Ludovico,-16.7148603,-49.2590657,300,3
Serrinha,-16.7212195,-49.2714516,300,3
Setor dos Afonsos,-16.7407816,-49.2746276,300,3
Vila Americano do Brasil,-16.6896427,-49.290243,300,3
